"Recipe","Content","Dish","Stages","food_pics"
"Oven Vietnamese Salmon Friday Style","Nuoc Cham Baked Salmon. Delicious served with rice and some wilted greens, such a baby bok choy or spinach.
Garnish with green onion and cilantro leaves and serve with lime wedges for drizzling.
","salmon, vietnamese","Prepare the meal",""
"Homegrown Pesto","
    Description


    This started with a classic basil pesto recipe. I have only made one or two modifications.
","Pesto","Make ahead",""
"Rice and Beans on a Friday","
    Here it is Friday 8:00 and I want to eat not think. Just so happens I have some leftover chicken fried rice, a tin of beans and small tin of corn that dutifully sits in the cupboard for this very moment. 


    1/4 c chicken broth if using already cooked rice 


    Chopped green pepper 
    Chopped green onion 
    Cumin paprika coriander 


    That just about does it. There was almost a tie between Black beans or White Spanish beans, just because I have two tins of white spanish beans. 
","beans, rice","Prepare the meal",""
"⚡ Quick Ratatouille Gratin (Shortcut Version)","Here’s a weeknight shortcut version that gives us nearly the same flavour as  but with less slicing and layering fuss:","Ratatouille","Prepare the meal",""
"Ratatouille","Teri and I just shared a Ratatouille from Potager Yvanhoe. We picked it up yesterday on 550 Route Campagna.

Let’s reverse-engineer it from the label and learn a bit more about this delicious use of harvested vegetables.","Ratatouille","Prepare the meal",""
"Tuna Quesadilla","
    In the pantry 



        2 (120 g) cans tuna, drained -- solid pack tuna is best, again with the runny and flaked 
    

        1⁄4 cup mayonnaise (or less - else runny)
    

        1⁄4 cup prepared chunky salsa (or make some)
    

        6 8-inch flour tortillas
    

        3⁄4 cup shredded cheddar cheese (about 3 oz) directions 
    


    Combine tuna, mayo and salsa. 


    Spread 3 tortillas with the tuna mixture, top with cheese and cover with remaining tortillas. 
","Quesadillas","Prepare the meal",""
"Summer-squash with garlicy linguine ","
        I discovered Pattypan squash at the market on Saturday. I want to remember this! 
        They were fresh and delicious :)
                                                                        
        You know it's a recipe for August when even the garlic isn't cooked. This is all so fresh and yummy. 
    ","fresh herbs, pasta, summer","Make ahead",""
"Black Bean and Corn Quesadillas 🧀 🌶️","
    This recipe includes the accompanying salsa Mmmmm  🧀🧄 🧅 🌶️ 
    salsa - one tomato and the other half of the onion and pepper from below, in a food processor. With a hot pepper if desired. And a dash of apple-cider vinegar. 
    Ingredients  
","Quesadillas","Prepare the meal",""
"Summer Salad and fresh croutons with 1/4 c of hummous","If a single serving of hummus is important to you; try this method to jazz up your next summer-fresh salad.
","salad, croutons","Prepare the meal",""
"Jerk shrimp and fresh fruit salad","
    I can't think of anything more inviting right now than shrimp in a cast-iron skillet on the stove top, except for maybe shrimp marinated in Jerk sauce. Yes, the Jamaican delight with scotch-bonnet peppers, usually served with chicken. 


    It started out I had some guacamole to use up, and that led to shrimp. Which led to roasted shrimp. Which made me think of the cast-iron skillet. Leftover rice. Made me think of a salad. And yes I have blueberries. And it all come together in under 20 minutes.
    Altogether magnifique! 
","bowl, rice, shrimp","Prepare the meal",""
"Mushroom fried cauliflower-rice 🥬 🥕 🧄 🧅 🍜","
    Welcome back cauliflower! And your new friend shiitake, welcome.
    This is so darn great! I say prep ahead because of the cauliflower rice. This is after you make the cauliflower rice, with shiitake mushrooms and fresh young carrots! Late summer never tasted better! 
     
","veggie, fried rice","Make ahead",""
"Salmon fried rice 🍚 🌶️","It happens. Leftover salmon. It's dinner time and something more than a salad. Mmmm. Something warm
","fried rice, salmon","Prepare the meal",""
" Gnocchi and Salmon Traybake Recipe with Pesto","Salmon fillet tray bake with gnocchi, basil pesto & green veggies
Prep Time 10 minutes minutes
Cook Time 17 minutes minutes
Total Time 27 minutes minutes
Servings 2 Servings
","gnocchi, salmon","Prepare the meal",""
"Roasted Veggie and Black Bean Rice Bowls","Thinking about: sweet potatoes, lime slices, avocado slices, black beans, and rice?

This roasted veggie and black bean rice bowls not only makes for a great lunch, but it also makes great leftovers.
Prep Time 10 minutes -- Cook Time  30 minutes  -- Total Time  40 minutes","beans, bowl, rice, roasted veggies","Prepare the meal",""
" Roasted Greek feast with oven-baked pork burgers","Roasted Greek feast with oven-baked pork burgers or indoor grill if available



🔥 Step 1: Oven-Bake the Greek Pork Burgers

What to do:","greek","Prepare the meal",""
